route_id,distance_km,vehicle_type,weather,load_type,actual_eta_hours
R-0076,1289.4,truck_small,clear,medium,20.88
R-0077,797.9,truck_large,rain,heavy,16.53
R-0078,321.6,truck_small,light_snow,light,7.46
R-0079,616.2,van,light_snow,heavy,15.11
R-0080,1312.2,van,clear,light,19.12
R-0081,28.6,truck_small,light_snow,heavy,0.7
R-0082,66.2,truck_small,clear,light,0.97
R-0083,1062.8,van,clear,heavy,17.23
R-0084,281.9,van,light_snow,heavy,6.46
R-0085,633.6,truck_large,foggy,medium,14.01
R-0086,1391.8,truck_small,clear,medium,21.8
R-0087,344.6,van,rain,light,6.04
R-0088,405.1,truck_large,light_snow,medium,9.85
R-0089,500.2,truck_small,foggy,medium,10.29
R-0090,803.7,truck_small,light_snow,heavy,20.15
R-0091,150.4,truck_large,light_snow,medium,3.69
R-0092,556.6,van,foggy,heavy,11.84
R-0093,207.5,truck_small,light_snow,heavy,5.38
R-0094,622.2,van,foggy,light,11.72
R-0095,585.3,truck_large,rain,heavy,12.65
R-0096,1469.5,truck_large,foggy,medium,33.81
R-0097,672.2,truck_large,light_snow,light,16.48
R-0098,380.0,truck_large,foggy,light,8.2
R-0099,519.9,truck_large,light_snow,heavy,14.52
R-0100,706.6,truck_large,rain,heavy,15.36
R-0101,1361.4,truck_large,light_snow,light,34.42
R-0102,1068.6,truck_large,foggy,light,23.93
R-0103,847.4,truck_small,clear,heavy,13.5
R-0104,233.3,van,clear,light,3.32
R-0105,104.9,truck_large,light_snow,medium,2.72
R-0106,427.2,truck_small,clear,medium,6.69
R-0107,449.6,truck_small,light_snow,light,10.18
R-0108,717.5,truck_small,rain,medium,13.74
R-0109,1149.3,truck_large,rain,heavy,24.29
R-0110,980.1,van,light_snow,heavy,23.26
R-0111,147.4,van,clear,heavy,2.41
R-0112,1234.6,van,clear,medium,18.21
R-0113,1300.2,truck_small,clear,heavy,21.06
R-0114,1324.5,van,rain,medium,23.9
R-0115,685.2,truck_small,clear,medium,10.29
R-0116,1447.5,truck_large,foggy,heavy,34.93
R-0117,321.9,truck_small,clear,heavy,5.27
R-0118,1186.4,truck_large,light_snow,light,29.8
R-0119,1375.5,truck_small,clear,heavy,23.78
R-0120,567.7,truck_large,light_snow,light,14.65
R-0121,1458.0,truck_small,rain,light,27.26
R-0122,1133.6,truck_small,rain,medium,21.08
R-0123,933.3,van,rain,heavy,17.97
R-0124,502.7,truck_small,clear,medium,7.94
R-0125,259.7,truck_large,light_snow,light,6.49
R-0126,835.0,truck_small,foggy,light,17.17
R-0127,824.6,truck_small,foggy,heavy,18.59
R-0128,750.3,truck_small,clear,light,11.61
R-0129,1261.0,truck_large,rain,light,23.75
R-0130,999.2,truck_small,foggy,heavy,23.06
R-0131,1365.5,van,rain,light,23.89
R-0132,976.6,truck_large,foggy,light,22.12
R-0133,394.5,truck_small,light_snow,heavy,9.63
R-0134,673.0,van,light_snow,medium,14.79
R-0135,298.3,truck_small,foggy,heavy,6.96
R-0136,1446.3,truck_large,clear,medium,23.52
R-0137,1307.8,van,light_snow,heavy,29.45
R-0138,1363.6,truck_large,foggy,light,29.9
R-0139,525.2,van,rain,medium,9.72
R-0140,981.8,van,light_snow,light,20.35
R-0141,753.9,truck_large,foggy,light,16.52
R-0142,1366.2,truck_small,foggy,heavy,31.1
R-0143,974.0,van,foggy,medium,18.81
R-0144,1241.6,van,foggy,medium,24.94
R-0145,1385.8,truck_small,rain,light,25.63
R-0146,619.1,van,foggy,heavy,12.68
R-0147,186.9,truck_small,light_snow,heavy,4.68
R-0148,747.9,van,clear,medium,10.82
R-0149,739.0,truck_small,rain,medium,13.43
R-0150,608.4,truck_large,clear,medium,10.41
R-0151,506.8,van,foggy,light,9.47
R-0152,233.8,truck_large,foggy,medium,5.5
R-0153,1026.3,van,foggy,light,18.91
R-0154,1320.5,van,foggy,medium,26.26
R-0155,347.9,truck_small,foggy,heavy,7.58
R-0156,507.7,truck_small,clear,medium,7.68
R-0157,1375.6,truck_small,foggy,heavy,30.76
R-0158,691.3,truck_small,foggy,light,14.55
R-0159,240.1,van,foggy,light,4.84
R-0160,791.0,truck_large,foggy,medium,18.35
R-0161,21.0,truck_small,rain,light,0.38
R-0162,1493.5,van,rain,medium,26.99
R-0163,1326.9,van,foggy,light,25.02
R-0164,854.3,van,clear,heavy,14.05
R-0165,660.4,truck_small,clear,heavy,10.81
R-0166,506.4,truck_large,foggy,heavy,11.76
R-0167,1295.9,truck_small,foggy,light,26.98
R-0168,1442.4,truck_large,light_snow,light,35.68
R-0169,1087.5,truck_large,clear,light,17.0
R-0170,433.6,van,clear,light,6.45
R-0171,1332.1,truck_small,clear,medium,20.78
R-0172,423.6,truck_small,foggy,light,8.17
R-0173,1296.7,truck_small,clear,medium,20.91
R-0174,1281.5,truck_small,light_snow,light,28.02
R-0175,1294.7,truck_large,foggy,heavy,32.7
R-0176,823.4,truck_small,foggy,light,15.96
R-0177,74.4,van,rain,medium,1.31
R-0178,1204.3,truck_large,light_snow,medium,29.77
R-0179,921.9,van,rain,medium,16.27
R-0180,754.0,van,foggy,medium,15.14
R-0181,520.9,van,light_snow,heavy,12.39
R-0182,145.3,truck_small,clear,medium,2.17
R-0183,1495.0,truck_large,rain,light,28.08
R-0184,259.9,truck_large,rain,light,5.13
R-0185,1367.7,truck_small,clear,heavy,22.56
R-0186,433.3,truck_large,light_snow,medium,11.53
R-0187,688.5,truck_large,rain,heavy,15.14
R-0188,740.2,truck_large,clear,heavy,12.89
R-0189,1161.6,truck_small,clear,light,17.79
R-0190,1027.1,truck_small,light_snow,heavy,24.32
R-0191,397.0,truck_small,foggy,medium,8.18
R-0192,63.0,truck_small,clear,light,0.91
R-0193,872.8,van,clear,medium,12.43
R-0194,642.7,van,rain,medium,11.88
R-0195,1404.0,van,rain,medium,24.43
R-0196,656.0,van,light_snow,medium,15.13
R-0197,1250.2,truck_small,light_snow,medium,30.02
R-0198,1297.6,truck_small,foggy,medium,27.23
R-0199,790.0,van,clear,light,11.78
R-0200,426.8,truck_small,foggy,heavy,9.65
R-0201,1157.7,van,clear,light,16.99
R-0202,1045.4,truck_small,light_snow,heavy,26.68
R-0203,108.4,truck_small,foggy,heavy,2.51
R-0204,1395.4,truck_small,clear,medium,21.8
R-0205,1315.3,truck_small,foggy,light,25.38
R-0206,1388.5,truck_large,rain,heavy,29.58
R-0207,49.4,truck_small,light_snow,light,1.1
R-0208,501.8,van,light_snow,heavy,11.8
R-0209,1279.7,truck_small,rain,light,23.17
R-0210,1141.8,van,clear,light,16.37
R-0211,345.1,truck_small,rain,heavy,6.88
R-0212,23.6,truck_small,light_snow,heavy,0.59
R-0213,156.4,truck_large,light_snow,heavy,4.27
R-0214,333.4,truck_small,foggy,heavy,7.59
R-0215,1311.6,truck_large,foggy,light,28.6
R-0216,1326.8,truck_small,rain,medium,24.07
R-0217,222.3,van,rain,heavy,4.36
R-0218,564.0,truck_small,rain,heavy,10.84
R-0219,90.5,truck_small,rain,medium,1.69
R-0220,31.2,truck_large,clear,medium,0.55
R-0221,204.9,van,clear,heavy,3.13
R-0222,1073.7,truck_large,foggy,medium,23.97
R-0223,699.3,truck_large,light_snow,light,16.38
R-0224,467.6,van,clear,heavy,7.71
R-0225,1168.6,truck_large,rain,heavy,26.13
R-0226,1106.6,truck_large,clear,light,18.42
R-0227,72.3,van,light_snow,medium,1.61
R-0228,456.7,truck_small,rain,heavy,8.7
R-0229,235.6,truck_small,rain,medium,4.47
R-0230,787.5,truck_large,rain,heavy,16.7
R-0231,470.0,van,foggy,light,8.79
R-0232,245.9,truck_small,foggy,light,4.88
R-0233,997.0,truck_large,clear,light,16.24
R-0234,613.6,truck_large,light_snow,medium,16.23
R-0235,951.9,truck_large,clear,medium,15.83
R-0236,1134.1,truck_large,foggy,medium,25.05
R-0237,135.7,truck_large,rain,light,2.66
R-0238,1434.3,van,light_snow,heavy,34.44
R-0239,644.4,van,foggy,heavy,14.18
R-0240,1008.3,truck_large,light_snow,medium,25.65
R-0241,916.7,van,light_snow,medium,19.71
R-0242,982.1,van,clear,heavy,14.86
R-0243,1216.1,van,light_snow,heavy,29.63
R-0244,664.8,van,clear,heavy,10.14
R-0245,1022.0,truck_large,light_snow,heavy,27.64
R-0246,642.7,van,foggy,medium,12.88
R-0247,1420.9,truck_small,light_snow,heavy,34.42
R-0248,1225.5,van,clear,heavy,20.02
R-0249,325.5,truck_small,rain,medium,5.78
R-0250,165.5,truck_small,clear,medium,2.55
R-0251,152.7,van,foggy,medium,3.09
R-0252,1010.8,truck_small,clear,light,15.68
R-0253,1496.1,truck_small,clear,light,23.07
R-0254,73.9,van,foggy,light,1.42
R-0255,1202.1,truck_small,clear,medium,17.91
R-0256,205.1,truck_small,rain,heavy,4.2
R-0257,978.9,truck_small,foggy,heavy,21.94
R-0258,786.7,truck_large,foggy,medium,17.64
R-0259,1379.1,van,light_snow,light,29.92
R-0260,1287.4,truck_large,light_snow,light,32.86
R-0261,273.3,truck_small,rain,medium,4.88
R-0262,1171.7,van,clear,medium,17.61
R-0263,1040.9,truck_small,rain,medium,18.75
R-0264,601.7,van,rain,light,10.6
R-0265,118.4,van,foggy,heavy,2.62
R-0266,1493.2,truck_small,rain,medium,28.69
R-0267,389.5,truck_large,rain,light,7.51
R-0268,418.6,van,rain,heavy,7.59
R-0269,824.3,van,rain,heavy,15.01
R-0270,1182.0,truck_small,rain,medium,22.72
R-0271,277.6,truck_small,light_snow,medium,6.58
R-0272,395.4,truck_large,rain,medium,7.89
R-0273,1495.2,truck_large,rain,medium,31.42
R-0274,1020.3,truck_large,clear,light,16.81
R-0275,566.2,van,rain,medium,9.78
R-0276,1085.9,van,clear,light,15.87
R-0277,218.2,truck_small,light_snow,light,5.1
R-0278,590.2,truck_small,foggy,light,12.39
R-0279,293.3,truck_large,foggy,light,6.53
R-0280,1120.2,truck_small,light_snow,heavy,27.33
R-0281,1480.0,truck_small,light_snow,heavy,38.06
R-0282,1350.9,truck_large,rain,light,27.88
R-0283,1237.7,van,light_snow,medium,28.49
R-0284,1117.5,truck_small,light_snow,heavy,26.52
R-0285,1498.2,van,foggy,heavy,31.82
R-0286,445.0,van,rain,heavy,8.52
R-0287,346.9,truck_small,rain,heavy,6.65
R-0288,609.9,van,rain,medium,11.16
R-0289,1004.7,van,foggy,medium,19.82
R-0290,166.4,truck_small,foggy,medium,3.39
R-0291,682.3,truck_large,light_snow,medium,17.38
R-0292,1390.5,truck_small,light_snow,heavy,34.97
R-0293,1249.3,van,foggy,light,23.26
R-0294,1471.6,truck_large,clear,heavy,26.85
R-0295,936.2,truck_large,rain,light,18.86
R-0296,580.7,truck_small,clear,light,8.37
R-0297,814.4,truck_small,light_snow,light,18.57
R-0298,1001.8,van,light_snow,light,20.48
R-0299,1319.3,truck_small,foggy,heavy,30.59
R-0300,147.0,truck_small,foggy,heavy,3.15
R-0301,883.3,truck_small,light_snow,medium,19.85
R-0302,893.0,truck_small,rain,light,15.91
R-0303,1145.6,truck_small,foggy,heavy,25.5
R-0304,394.3,truck_large,rain,medium,8.32
R-0305,1366.2,van,clear,heavy,22.51
R-0306,406.4,van,clear,light,5.89
R-0307,624.4,truck_large,light_snow,light,15.24
R-0308,1119.4,van,light_snow,heavy,26.26
R-0309,1173.7,truck_large,rain,heavy,24.76
R-0310,1391.2,truck_small,light_snow,light,30.57
R-0311,612.3,van,foggy,heavy,13.57
R-0312,184.6,truck_large,rain,medium,3.84
R-0313,1083.3,truck_large,rain,light,22.14
R-0314,227.8,truck_large,light_snow,heavy,5.95
R-0315,1432.4,truck_large,light_snow,heavy,38.73
R-0316,211.9,van,foggy,medium,4.1
R-0317,722.0,van,rain,medium,13.36
R-0318,796.2,van,foggy,heavy,16.5
R-0319,314.2,van,light_snow,medium,7.1
R-0320,272.8,truck_large,foggy,heavy,6.67
R-0321,239.9,truck_large,clear,medium,4.14
R-0322,1413.2,van,light_snow,light,30.81
R-0323,149.7,van,rain,medium,2.54
R-0324,1069.6,truck_large,rain,medium,21.95
R-0325,1187.6,van,rain,heavy,23.09
R-0326,481.8,truck_small,foggy,heavy,11.1
R-0327,354.8,truck_small,light_snow,medium,8.53
R-0328,140.6,truck_large,rain,medium,2.98
R-0329,1422.3,truck_large,light_snow,medium,36.76
R-0330,1186.3,truck_large,clear,light,19.25
R-0331,675.9,truck_large,light_snow,medium,17.82
R-0332,883.2,truck_small,clear,medium,14.01
R-0333,1002.4,van,rain,light,17.42
R-0334,416.1,truck_large,foggy,heavy,10.59
R-0335,843.5,truck_large,foggy,light,18.49
R-0336,91.8,van,rain,light,1.56
R-0337,170.0,truck_large,foggy,light,3.6
R-0338,89.3,truck_large,light_snow,light,2.16
R-0339,1061.3,van,foggy,light,19.5
R-0340,1401.7,truck_small,clear,heavy,22.01
R-0341,1156.1,truck_small,rain,light,21.04
R-0342,1385.5,truck_large,light_snow,light,35.79
R-0343,918.5,van,rain,light,15.69
R-0344,961.0,truck_small,clear,heavy,15.83
R-0345,578.8,van,rain,heavy,10.93
R-0346,244.8,van,foggy,heavy,5.43
R-0347,100.7,truck_small,light_snow,light,2.23
R-0348,331.0,truck_large,foggy,heavy,7.72
R-0349,49.3,van,clear,heavy,0.75
R-0350,409.0,truck_large,clear,light,6.59
R-0351,319.7,truck_large,rain,light,6.3
R-0352,374.5,truck_large,light_snow,light,9.61
R-0353,1402.3,truck_large,foggy,heavy,34.66
R-0354,1475.6,truck_small,rain,light,25.68
R-0355,372.1,truck_small,light_snow,heavy,8.77
R-0356,1213.4,van,light_snow,light,26.88
R-0357,365.6,van,clear,heavy,5.53
R-0358,239.8,truck_small,rain,heavy,4.94
R-0359,1161.6,truck_small,clear,light,17.07
R-0360,1429.6,van,light_snow,medium,32.76
R-0361,544.4,van,foggy,light,10.04
R-0362,923.5,van,light_snow,light,19.12
R-0363,381.3,van,light_snow,heavy,8.99
R-0364,1286.8,truck_small,foggy,heavy,27.88
R-0365,1143.9,van,foggy,heavy,23.9
R-0366,807.1,truck_large,foggy,light,18.7
R-0367,23.2,truck_small,clear,medium,0.37
R-0368,1200.4,truck_small,foggy,light,25.08
R-0369,103.7,truck_large,light_snow,medium,2.75
R-0370,1168.0,van,clear,heavy,18.59
R-0371,1051.3,truck_small,light_snow,heavy,25.18
R-0372,1124.9,truck_small,clear,medium,16.7
R-0373,772.1,van,clear,heavy,11.84
R-0374,937.8,truck_small,foggy,medium,18.71
R-0375,1372.5,van,rain,heavy,26.73
R-0376,830.8,van,rain,heavy,16.23
R-0377,510.6,truck_small,clear,heavy,8.22
R-0378,327.7,truck_small,foggy,medium,7.1
R-0379,243.0,van,light_snow,medium,5.31
R-0380,934.6,truck_large,rain,medium,19.91
R-0381,391.7,truck_small,rain,light,6.95
R-0382,211.8,van,light_snow,medium,4.67
R-0383,334.3,van,foggy,heavy,7.03
R-0384,1123.0,truck_small,light_snow,light,24.34
R-0385,462.5,truck_small,light_snow,medium,11.13
R-0386,831.2,truck_large,clear,heavy,14.52
R-0387,412.5,truck_small,clear,medium,6.65
R-0388,1480.7,truck_large,light_snow,medium,38.53
R-0389,979.8,van,clear,light,13.37
R-0390,396.2,van,clear,medium,5.55
R-0391,880.3,truck_small,foggy,heavy,20.11
R-0392,1263.9,van,rain,medium,22.12
R-0393,1030.7,van,foggy,light,19.78
R-0394,275.9,truck_large,light_snow,heavy,7.58
R-0395,140.2,truck_large,rain,light,2.63
R-0396,1459.6,truck_small,rain,medium,27.77
R-0397,446.2,van,rain,light,7.93
R-0398,100.3,truck_large,light_snow,heavy,2.83
R-0399,339.9,van,clear,light,4.91
R-0400,22.2,truck_small,light_snow,heavy,0.55
R-0401,623.0,van,clear,heavy,10.23
R-0402,343.6,truck_large,clear,medium,5.62
R-0403,246.0,van,light_snow,heavy,5.93
R-0404,1125.2,truck_large,light_snow,heavy,29.85
R-0405,1366.5,van,foggy,light,25.25
R-0406,516.2,truck_small,foggy,medium,11.29
R-0407,33.7,truck_small,rain,heavy,0.66
R-0408,805.1,truck_large,rain,medium,17.04
R-0409,1153.3,truck_small,light_snow,light,25.8
R-0410,400.8,truck_small,rain,medium,7.76
R-0411,961.7,van,foggy,light,19.33
R-0412,538.7,truck_large,light_snow,heavy,15.21
R-0413,301.9,van,rain,heavy,5.75
R-0414,965.6,truck_small,light_snow,medium,22.25
R-0415,324.7,van,foggy,medium,6.39
R-0416,38.1,truck_large,light_snow,medium,0.99
R-0417,156.0,van,light_snow,light,3.45
R-0418,968.2,van,light_snow,medium,22.29
R-0419,1007.4,truck_small,rain,light,18.17
R-0420,53.5,truck_large,clear,heavy,0.92
R-0421,162.2,van,foggy,heavy,3.37
R-0422,405.0,truck_small,foggy,light,8.1
R-0423,1448.3,van,rain,medium,25.01
R-0424,1286.2,truck_small,light_snow,medium,29.27
R-0425,1351.9,van,clear,medium,20.67
R-0426,1202.8,truck_small,clear,light,17.8
R-0427,966.1,truck_small,foggy,medium,20.14
R-0428,156.4,van,foggy,light,2.92
R-0429,1188.2,truck_small,foggy,heavy,26.49
R-0430,1279.2,truck_large,light_snow,medium,31.85
R-0431,277.0,truck_small,light_snow,heavy,6.59
R-0432,725.8,truck_small,clear,heavy,12.44
R-0433,836.7,van,rain,heavy,15.74
R-0434,97.1,truck_small,rain,light,1.74
R-0435,1436.2,van,foggy,heavy,29.75
R-0436,397.5,truck_large,rain,medium,8.45
R-0437,939.7,truck_large,clear,light,15.23
R-0438,441.3,van,foggy,light,8.64
R-0439,306.2,truck_small,light_snow,light,6.98
R-0440,507.5,van,light_snow,medium,11.32
R-0441,873.2,van,light_snow,light,18.33
R-0442,1093.2,truck_small,rain,heavy,20.85
R-0443,1456.8,truck_large,light_snow,medium,38.5
R-0444,598.1,truck_small,light_snow,light,13.63
R-0445,348.7,van,clear,medium,5.02
R-0446,501.0,truck_large,light_snow,medium,12.29
R-0447,717.9,truck_small,rain,light,13.0
R-0448,1436.1,van,light_snow,light,32.11
R-0449,35.0,van,light_snow,medium,0.76
R-0450,1261.1,truck_small,clear,light,18.26
R-0451,854.5,truck_large,rain,heavy,19.2
R-0452,1326.2,truck_small,rain,heavy,25.79
R-0453,196.6,truck_small,clear,heavy,3.38
R-0454,1300.6,van,foggy,heavy,26.33
R-0455,1062.0,van,clear,light,15.63
R-0456,1330.6,van,rain,heavy,25.75
R-0457,734.6,truck_small,light_snow,light,16.39
R-0458,406.0,truck_small,light_snow,light,9.0
R-0459,1203.7,truck_small,light_snow,medium,29.07
R-0460,1374.5,truck_small,light_snow,medium,30.53
R-0461,640.6,van,foggy,light,12.25
R-0462,499.3,van,clear,medium,7.69
R-0463,1378.3,truck_large,rain,light,27.88
R-0464,1243.4,truck_large,foggy,light,27.84
R-0465,1238.2,truck_large,foggy,heavy,30.61
R-0466,294.0,truck_large,light_snow,medium,7.21
R-0467,742.5,truck_small,rain,heavy,14.9
R-0468,528.9,van,foggy,light,10.65
R-0469,729.8,truck_large,rain,medium,14.92
R-0470,69.5,truck_large,foggy,heavy,1.63
R-0471,356.2,truck_small,foggy,light,7.17
R-0472,830.6,van,light_snow,light,17.32
R-0473,52.9,truck_small,light_snow,medium,1.2
R-0474,525.5,van,clear,light,7.3
R-0475,1285.5,truck_large,rain,heavy,26.79
R-0476,1266.3,van,rain,light,21.73
R-0477,835.5,van,light_snow,heavy,19.94
R-0478,213.9,van,rain,light,3.71
R-0479,1215.2,van,foggy,light,23.33
R-0480,817.0,truck_small,rain,light,14.14
R-0481,955.6,truck_large,clear,heavy,16.6
R-0482,1437.7,truck_large,foggy,medium,33.26
R-0483,507.6,truck_large,rain,heavy,10.89
R-0484,1082.5,van,clear,medium,16.36
R-0485,286.7,truck_large,clear,medium,5.04
R-0486,211.4,truck_small,rain,medium,3.9
R-0487,304.0,van,light_snow,light,6.64
R-0488,292.5,truck_large,rain,medium,6.04
R-0489,31.0,truck_small,foggy,light,0.63
R-0490,930.5,van,foggy,medium,19.21
R-0491,1374.0,truck_large,light_snow,heavy,37.46
R-0492,1244.6,van,foggy,light,24.6
R-0493,710.0,truck_small,foggy,heavy,16.22
R-0494,699.9,truck_large,foggy,heavy,17.69
R-0495,786.5,truck_large,rain,medium,16.18
R-0496,674.7,truck_large,foggy,light,15.22
R-0497,259.0,truck_large,rain,light,5.22
R-0498,505.8,truck_large,rain,light,10.01
R-0499,1175.7,truck_small,light_snow,light,27.72
R-0500,27.6,truck_small,rain,heavy,0.55
R-0501,1493.1,truck_large,foggy,light,33.7
R-0502,1302.6,truck_large,rain,medium,25.83
R-0503,1178.1,truck_small,foggy,medium,23.4
R-0504,692.2,van,light_snow,light,15.35
R-0505,429.3,truck_small,foggy,heavy,9.54
R-0506,986.9,van,clear,heavy,15.96
R-0507,320.0,truck_small,foggy,medium,6.56
R-0508,116.3,truck_small,clear,medium,1.81
R-0509,1193.3,truck_small,light_snow,light,27.1
R-0510,274.7,truck_large,foggy,medium,6.31
R-0511,945.6,van,rain,light,16.01
R-0512,432.9,truck_small,rain,medium,8.03
R-0513,721.6,truck_small,rain,light,13.6
R-0514,184.7,truck_large,rain,light,3.51
R-0515,1430.8,truck_small,rain,medium,27.63
R-0516,1044.0,truck_small,clear,light,16.04
R-0517,569.1,van,rain,heavy,11.18
R-0518,488.4,truck_small,light_snow,light,10.8
R-0519,449.6,truck_large,light_snow,heavy,12.09
R-0520,491.7,truck_small,rain,heavy,9.85
R-0521,359.8,truck_large,clear,light,5.96
R-0522,597.3,truck_large,foggy,medium,13.89
R-0523,746.8,truck_large,clear,heavy,13.88
R-0524,638.6,van,light_snow,light,13.03
R-0525,379.1,van,foggy,heavy,7.88
R-0526,974.0,van,foggy,medium,19.97
R-0527,280.8,truck_small,rain,medium,5.38
R-0528,891.0,truck_small,foggy,light,17.71
R-0529,1154.3,van,clear,heavy,18.67
R-0530,508.1,truck_small,rain,heavy,9.73
R-0531,778.8,van,rain,medium,14.41
R-0532,1384.8,truck_large,rain,light,27.88
R-0533,1339.7,van,light_snow,medium,30.95
R-0534,1422.6,van,rain,heavy,26.88
R-0535,468.2,truck_large,rain,light,9.24
R-0536,1075.7,van,rain,medium,18.48
R-0537,1439.2,truck_large,clear,light,24.38
R-0538,247.8,truck_large,light_snow,medium,6.6
R-0539,410.5,van,rain,medium,6.98
R-0540,704.3,truck_large,clear,heavy,12.89
R-0541,1142.7,truck_large,foggy,heavy,26.59
R-0542,768.6,van,clear,medium,11.39
R-0543,1434.5,truck_small,rain,heavy,29.09
R-0544,900.8,van,foggy,medium,17.89
R-0545,747.5,truck_large,light_snow,light,17.79
R-0546,285.4,truck_large,rain,light,5.82
R-0547,435.9,truck_large,light_snow,medium,11.01
R-0548,745.1,truck_small,light_snow,medium,16.96
R-0549,306.9,van,foggy,medium,6.19
R-0550,587.7,truck_small,rain,heavy,11.59
R-0551,777.8,van,rain,heavy,14.75
R-0552,1384.3,truck_large,light_snow,medium,36.06
R-0553,421.8,truck_small,rain,heavy,7.94
R-0554,808.4,truck_large,light_snow,heavy,22.0
R-0555,1298.6,van,foggy,light,24.45
R-0556,26.7,truck_large,clear,light,0.46
R-0557,1159.7,truck_large,rain,light,23.78
R-0558,950.0,truck_large,light_snow,heavy,26.05
R-0559,619.0,truck_small,clear,heavy,10.3
R-0560,452.3,truck_large,rain,heavy,10.06
R-0561,1122.6,truck_small,foggy,heavy,26.05
R-0562,1144.3,truck_large,foggy,light,25.45
R-0563,656.1,truck_small,rain,light,11.92
R-0564,1200.5,van,light_snow,light,26.04
R-0565,629.0,van,rain,medium,11.4
R-0566,1012.6,van,clear,medium,14.68
R-0567,1231.3,truck_small,clear,medium,19.28
R-0568,1449.8,van,rain,heavy,26.13
R-0569,1490.7,van,foggy,light,29.28
R-0570,835.2,van,light_snow,medium,17.79
R-0571,80.4,truck_large,light_snow,heavy,2.24
R-0572,341.2,truck_large,clear,light,5.53
R-0573,1330.6,truck_large,foggy,light,29.37
R-0574,1281.6,van,light_snow,medium,27.89
R-0575,226.1,truck_large,foggy,light,5.25
R-0576,360.9,van,clear,medium,5.14
R-0577,164.9,truck_small,clear,light,2.49
