shipment_id,sku_id,transit_hours,avg_temp,shock_events,spoilage_flag
SHP-087,milk_carton,99.5,-1.9,4,0
SHP-088,banana78,65.2,29.3,3,1
SHP-089,cheese_block,72.8,34.3,8,1
SHP-090,strawberry45,17.4,10.5,0,1
SHP-091,strawberry45,57.3,32.1,0,1
SHP-092,banana78,20.5,7.8,1,1
SHP-093,milk_carton,75.7,20.9,0,1
SHP-094,banana78,94.3,3.0,7,1
SHP-095,cheese_block,114.6,15.6,8,1
SHP-096,banana78,42.2,21.4,2,1
SHP-097,banana78,100.5,17.3,6,1
SHP-098,banana78,44.5,-4.1,9,1
SHP-099,banana78,55.1,14.6,8,1
SHP-100,cheese_block,77.3,21.9,3,1
SHP-101,banana78,11.3,20.7,3,1
SHP-102,milk_carton,103.1,17.9,7,1
SHP-103,strawberry45,65.3,12.7,1,0
SHP-104,banana78,83.7,2.2,5,0
SHP-105,banana78,75.5,10.6,4,1
SHP-106,milk_carton,51.8,0.8,9,0
SHP-107,milk_carton,117.1,-0.7,1,0
SHP-108,strawberry45,89.6,24.4,6,1
SHP-109,milk_carton,62.5,9.4,6,0
SHP-110,strawberry45,10.3,27.4,5,1
SHP-111,strawberry45,84.1,13.9,5,1
SHP-112,banana78,64.1,3.7,9,1
SHP-113,apple_gala,100.4,-2.4,2,0
SHP-114,banana78,99.4,26.6,1,1
SHP-115,banana78,103.7,29.7,2,1
SHP-116,strawberry45,81.1,20.9,0,1
SHP-117,cheese_block,119.9,27.2,6,1
SHP-118,strawberry45,51.6,7.6,8,0
SHP-119,milk_carton,27.8,13.4,6,1
SHP-120,milk_carton,36.2,7.2,7,0
SHP-121,banana78,71.4,34.2,6,1
SHP-122,cheese_block,108.5,-1.6,7,0
SHP-123,apple_gala,114.2,-1.4,9,0
SHP-124,cheese_block,37.6,7.0,8,0
SHP-125,banana78,81.3,4.0,7,1
SHP-126,milk_carton,13.1,30.4,9,1
SHP-127,banana78,37.9,29.3,9,1
SHP-128,strawberry45,20.8,27.4,0,1
SHP-129,banana78,21.6,4.1,5,1
SHP-130,strawberry45,66.9,15.9,7,1
SHP-131,milk_carton,105.0,24.1,6,1
SHP-132,cheese_block,15.5,11.4,8,0
SHP-133,milk_carton,117.2,27.3,2,1
SHP-134,cheese_block,86.2,34.2,7,1
SHP-135,cheese_block,66.9,10.5,8,0
SHP-136,banana78,6.6,-1.6,8,0
SHP-137,milk_carton,43.5,9.0,3,0
SHP-138,milk_carton,81.9,2.9,5,0
SHP-139,cheese_block,47.3,23.3,7,1
SHP-140,strawberry45,20.9,8.9,5,0
SHP-141,strawberry45,88.5,33.8,4,1
SHP-142,strawberry45,36.5,19.3,6,1
SHP-143,strawberry45,40.4,6.2,6,0
SHP-144,cheese_block,116.0,27.2,2,1
SHP-145,apple_gala,25.2,14.2,0,0
SHP-146,apple_gala,87.3,1.9,9,0
SHP-147,banana78,86.6,-4.3,5,1
SHP-148,banana78,43.6,6.7,7,1
SHP-149,banana78,112.3,23.5,4,1
SHP-150,banana78,73.0,21.0,2,1
SHP-151,milk_carton,11.1,14.6,1,1
SHP-152,strawberry45,39.8,7.5,2,1
SHP-153,banana78,50.3,-0.6,5,1
SHP-154,strawberry45,36.0,11.2,1,1
SHP-155,milk_carton,79.0,11.5,7,1
SHP-156,cheese_block,33.3,15.2,7,0
SHP-157,milk_carton,66.0,16.9,8,1
SHP-158,milk_carton,75.9,16.5,6,1
SHP-159,strawberry45,65.4,4.3,2,1
SHP-160,banana78,85.7,31.1,5,1
SHP-161,banana78,49.1,10.2,5,0
SHP-162,banana78,66.0,23.8,7,1
SHP-163,milk_carton,102.9,30.1,0,1
SHP-164,milk_carton,69.8,7.1,0,1
SHP-165,cheese_block,98.7,31.1,4,1
SHP-166,banana78,113.7,5.2,4,1
SHP-167,banana78,53.1,28.9,6,1
SHP-168,milk_carton,76.3,0.1,1,0
SHP-169,banana78,21.5,-1.1,8,1
SHP-170,strawberry45,116.1,-1.0,0,0
SHP-171,banana78,56.6,-2.3,7,1
SHP-172,apple_gala,19.3,4.7,0,0
SHP-173,apple_gala,108.1,19.0,9,0
SHP-174,apple_gala,57.5,18.2,2,0
SHP-175,apple_gala,18.6,14.7,9,0
SHP-176,apple_gala,20.2,29.7,4,1
SHP-177,milk_carton,73.0,24.7,2,1
SHP-178,milk_carton,69.4,1.4,6,0
SHP-179,banana78,69.6,19.9,2,1
SHP-180,banana78,105.7,5.5,3,1
SHP-181,strawberry45,61.5,28.3,0,1
SHP-182,apple_gala,100.1,6.6,8,0
SHP-183,strawberry45,119.3,11.3,0,1
SHP-184,milk_carton,56.8,21.4,5,1
SHP-185,strawberry45,79.7,5.3,6,1
SHP-186,milk_carton,51.8,-2.9,9,0
SHP-187,milk_carton,77.8,15.5,8,1
SHP-188,cheese_block,7.7,-2.8,5,1
SHP-189,banana78,75.9,10.8,3,1
SHP-190,strawberry45,106.6,-2.8,7,1
SHP-191,strawberry45,90.3,10.4,0,1
SHP-192,apple_gala,103.7,30.6,8,0
SHP-193,apple_gala,5.7,-1.1,1,0
SHP-194,milk_carton,72.9,-3.1,7,0
SHP-195,cheese_block,67.7,2.5,7,0
SHP-196,strawberry45,66.9,27.6,1,1
SHP-197,cheese_block,79.0,0.7,0,0
SHP-198,cheese_block,73.5,4.5,7,0
SHP-199,strawberry45,54.4,7.0,8,1
SHP-200,cheese_block,57.5,14.9,7,0
SHP-201,milk_carton,102.9,6.1,4,0
SHP-202,apple_gala,15.4,14.4,8,1
SHP-203,banana78,119.9,1.9,1,0
SHP-204,strawberry45,46.0,34.1,4,1
SHP-205,strawberry45,56.4,34.4,2,1
SHP-206,strawberry45,60.7,18.5,0,1
SHP-207,milk_carton,116.4,30.7,1,1
SHP-208,cheese_block,104.6,28.6,1,1
SHP-209,banana78,25.1,29.6,0,1
SHP-210,milk_carton,11.0,-3.1,5,0
SHP-211,milk_carton,66.9,2.5,0,1
SHP-212,apple_gala,117.0,6.7,9,1
SHP-213,banana78,74.2,-2.9,5,0
SHP-214,banana78,59.2,25.9,0,1
SHP-215,banana78,110.3,-1.0,1,1
SHP-216,strawberry45,59.9,-2.3,3,1
SHP-217,strawberry45,118.8,24.9,0,1
SHP-218,milk_carton,39.3,6.5,9,0
SHP-219,milk_carton,35.2,14.4,5,1
SHP-220,apple_gala,19.3,29.8,8,1
SHP-221,milk_carton,82.1,23.4,4,1
SHP-222,milk_carton,32.7,25.4,0,1
SHP-223,banana78,16.0,28.9,7,1
SHP-224,banana78,38.5,-1.2,4,1
SHP-225,banana78,75.6,25.7,7,1
SHP-226,banana78,100.9,18.7,8,1
SHP-227,banana78,18.1,7.4,7,1
SHP-228,apple_gala,46.8,15.1,0,0
SHP-229,strawberry45,57.6,27.7,3,1
SHP-230,cheese_block,54.5,13.7,3,0
SHP-231,cheese_block,36.0,5.0,1,0
SHP-232,apple_gala,79.9,-4.2,1,0
SHP-233,apple_gala,29.1,10.2,9,1
SHP-234,apple_gala,113.3,5.5,8,0
SHP-235,apple_gala,77.5,4.1,2,0
SHP-236,apple_gala,19.1,0.4,3,0
SHP-237,strawberry45,105.4,-1.0,4,1
SHP-238,milk_carton,55.7,30.9,9,1
SHP-239,cheese_block,66.1,17.7,6,1
SHP-240,apple_gala,42.1,29.8,6,1
SHP-241,apple_gala,92.4,20.2,4,1
SHP-242,milk_carton,5.7,5.0,6,0
SHP-243,strawberry45,73.0,11.1,1,1
SHP-244,milk_carton,53.1,13.4,8,1
SHP-245,banana78,75.1,-4.1,4,0
SHP-246,cheese_block,64.0,7.0,0,0
SHP-247,apple_gala,47.4,2.3,8,0
SHP-248,cheese_block,8.4,9.0,1,1
SHP-249,strawberry45,78.4,8.8,4,1
SHP-250,apple_gala,63.1,-0.1,7,0
SHP-251,apple_gala,17.9,7.1,7,0
SHP-252,cheese_block,43.4,11.3,5,1
SHP-253,milk_carton,21.3,20.0,7,1
SHP-254,strawberry45,46.8,25.1,6,1
SHP-255,strawberry45,47.5,7.7,2,0
SHP-256,cheese_block,51.1,34.5,0,1
SHP-257,apple_gala,80.3,18.6,8,0
SHP-258,milk_carton,19.0,23.2,9,1
SHP-259,milk_carton,26.0,15.8,4,1
SHP-260,cheese_block,101.4,26.5,4,1
SHP-261,milk_carton,96.3,30.6,0,1
SHP-262,banana78,88.2,0.5,1,0
SHP-263,milk_carton,112.8,7.7,6,0
SHP-264,cheese_block,83.7,-1.6,0,0
SHP-265,milk_carton,72.3,31.4,6,1
SHP-266,cheese_block,20.6,26.1,4,1
SHP-267,banana78,60.9,-2.9,3,0
SHP-268,banana78,81.7,19.8,2,1
SHP-269,apple_gala,36.9,-4.2,4,0
SHP-270,apple_gala,108.3,27.1,4,1
SHP-271,banana78,113.9,24.3,0,1
SHP-272,banana78,118.6,19.9,4,1
SHP-273,cheese_block,50.1,22.9,2,1
SHP-274,strawberry45,62.0,28.1,7,1
SHP-275,apple_gala,34.5,27.8,2,1
SHP-276,apple_gala,7.5,12.2,6,0
SHP-277,banana78,73.7,15.5,9,1
SHP-278,strawberry45,42.3,17.3,4,1
SHP-279,banana78,62.1,33.5,7,1
SHP-280,strawberry45,64.0,3.4,2,0
SHP-281,cheese_block,42.0,29.5,5,1
SHP-282,cheese_block,117.0,31.8,9,1
SHP-283,milk_carton,34.2,23.7,7,1
SHP-284,apple_gala,90.5,9.5,5,0
SHP-285,strawberry45,52.4,22.0,1,1
SHP-286,banana78,91.6,20.2,5,1
SHP-287,milk_carton,31.4,33.1,5,1
SHP-288,banana78,17.3,18.3,2,1
SHP-289,banana78,57.0,11.8,8,1
SHP-290,milk_carton,104.0,13.6,7,1
SHP-291,apple_gala,63.4,34.5,2,1
SHP-292,apple_gala,70.2,18.3,3,0
SHP-293,banana78,108.1,-0.9,3,0
SHP-294,cheese_block,31.9,31.8,1,1
SHP-295,apple_gala,27.5,2.4,1,0
SHP-296,apple_gala,44.4,9.0,5,0
SHP-297,milk_carton,19.0,34.0,2,1
SHP-298,strawberry45,55.1,22.9,1,1
SHP-299,apple_gala,75.5,6.7,5,0
SHP-300,apple_gala,30.7,3.7,1,0
SHP-301,strawberry45,115.3,16.0,9,1
SHP-302,strawberry45,50.0,15.4,8,1
SHP-303,cheese_block,53.1,14.6,6,0
SHP-304,milk_carton,67.2,27.7,8,1
SHP-305,milk_carton,108.9,30.7,7,1
SHP-306,apple_gala,105.6,23.9,9,1
SHP-307,apple_gala,68.8,7.9,8,0
SHP-308,milk_carton,47.8,-2.7,9,0
SHP-309,apple_gala,104.8,8.1,4,0
SHP-310,banana78,64.8,27.9,5,1
SHP-311,banana78,54.6,12.7,2,1
SHP-312,strawberry45,62.9,-1.5,1,0
SHP-313,strawberry45,72.2,24.9,8,1
SHP-314,apple_gala,55.8,28.0,1,0
SHP-315,strawberry45,40.5,27.9,4,1
SHP-316,milk_carton,49.0,-4.5,7,0
SHP-317,strawberry45,107.0,10.9,5,1
SHP-318,strawberry45,50.2,15.4,2,1
SHP-319,cheese_block,23.3,26.0,8,1
SHP-320,strawberry45,42.2,-3.8,7,1
SHP-321,cheese_block,75.3,23.7,5,1
SHP-322,milk_carton,38.3,32.6,5,1
SHP-323,apple_gala,13.0,21.7,1,1
SHP-324,strawberry45,18.4,-3.2,2,0
SHP-325,banana78,7.4,33.9,4,1
SHP-326,apple_gala,74.2,-1.2,9,0
SHP-327,apple_gala,12.5,19.5,1,1
SHP-328,cheese_block,7.9,14.2,1,0
SHP-329,apple_gala,45.4,14.2,9,0
SHP-330,milk_carton,86.0,7.2,5,0
SHP-331,cheese_block,105.9,11.6,3,0
SHP-332,apple_gala,76.4,6.3,6,0
SHP-333,banana78,21.7,19.4,5,1
SHP-334,milk_carton,116.8,30.3,1,1
SHP-335,strawberry45,55.3,8.4,0,1
SHP-336,strawberry45,69.1,33.2,3,1
SHP-337,cheese_block,93.2,-4.8,8,0
SHP-338,apple_gala,44.7,26.8,7,0
SHP-339,cheese_block,100.4,17.0,4,1
SHP-340,apple_gala,54.9,0.3,4,0
SHP-341,strawberry45,48.7,32.1,6,1
SHP-342,cheese_block,106.5,16.5,0,1
SHP-343,apple_gala,60.3,23.7,5,1
SHP-344,cheese_block,29.0,2.4,4,0
SHP-345,banana78,28.0,30.1,8,1
SHP-346,banana78,97.8,13.7,6,1
SHP-347,apple_gala,92.3,-2.7,8,0
SHP-348,strawberry45,96.8,10.4,5,1
SHP-349,banana78,68.3,7.7,4,1
SHP-350,milk_carton,52.7,2.2,5,0
SHP-351,banana78,33.8,10.6,0,0
SHP-352,apple_gala,40.1,15.3,0,0
SHP-353,cheese_block,98.9,9.7,3,1
SHP-354,strawberry45,71.4,2.5,1,0
SHP-355,banana78,74.3,8.6,5,1
SHP-356,cheese_block,53.0,32.6,9,1
SHP-357,cheese_block,64.1,4.7,7,0
SHP-358,strawberry45,29.5,26.1,9,1
SHP-359,strawberry45,104.7,2.6,0,1
SHP-360,cheese_block,44.8,9.5,3,0
SHP-361,cheese_block,49.5,2.6,3,0
SHP-362,apple_gala,87.5,-1.1,3,0
SHP-363,milk_carton,27.6,31.3,9,1
SHP-364,strawberry45,75.0,4.9,9,0
SHP-365,milk_carton,17.6,9.3,3,1
SHP-366,banana78,21.3,26.8,5,1
SHP-367,cheese_block,34.0,10.9,6,0
SHP-368,banana78,62.5,23.7,5,1
SHP-369,cheese_block,20.7,5.4,4,0
SHP-370,apple_gala,70.8,0.4,4,0
SHP-371,strawberry45,29.9,18.2,0,1
SHP-372,strawberry45,116.2,19.0,5,1
SHP-373,banana78,99.8,11.1,6,1
SHP-374,cheese_block,85.3,29.6,2,1
SHP-375,banana78,108.8,16.6,5,1
SHP-376,strawberry45,112.1,22.9,9,1
SHP-377,strawberry45,83.5,18.8,0,1
SHP-378,banana78,118.4,25.0,4,1
SHP-379,milk_carton,42.5,16.6,2,1
SHP-380,milk_carton,19.1,9.1,3,0
SHP-381,milk_carton,74.3,6.4,2,0
SHP-382,cheese_block,94.9,-2.3,9,0
SHP-383,milk_carton,42.1,5.9,0,0
SHP-384,banana78,8.5,20.2,0,1
SHP-385,milk_carton,101.1,26.2,0,1
SHP-386,banana78,100.9,21.2,5,1
SHP-387,milk_carton,67.1,14.9,5,1
SHP-388,apple_gala,67.0,17.2,0,0
SHP-389,milk_carton,55.2,26.1,6,1
SHP-390,cheese_block,21.9,21.4,4,1
SHP-391,cheese_block,33.6,28.5,4,1
SHP-392,strawberry45,61.9,9.5,5,1
SHP-393,cheese_block,53.2,25.6,2,1
SHP-394,cheese_block,49.2,20.9,3,1
SHP-395,banana78,83.6,22.9,8,1
SHP-396,strawberry45,10.1,0.9,9,1
SHP-397,banana78,84.6,-0.6,0,1
SHP-398,milk_carton,76.4,31.9,6,1
SHP-399,strawberry45,31.8,30.0,2,1
SHP-400,banana78,48.5,6.4,0,0
SHP-401,milk_carton,12.1,7.0,7,0
SHP-402,strawberry45,61.0,29.5,5,1
SHP-403,strawberry45,30.7,25.2,5,1
SHP-404,banana78,82.7,23.1,2,1
SHP-405,banana78,37.9,12.3,0,1
SHP-406,milk_carton,60.4,30.3,0,1
SHP-407,banana78,90.4,21.8,0,1
SHP-408,cheese_block,56.6,10.8,3,0
SHP-409,cheese_block,62.8,3.7,5,0
SHP-410,banana78,94.3,11.5,4,1
SHP-411,banana78,39.9,29.8,6,1
SHP-412,cheese_block,9.0,9.5,2,0
SHP-413,milk_carton,23.1,6.6,8,0
SHP-414,cheese_block,97.9,10.9,6,0
SHP-415,milk_carton,92.3,29.0,6,1
SHP-416,banana78,108.3,18.5,3,1
SHP-417,apple_gala,59.5,26.6,7,1
SHP-418,banana78,38.3,24.0,1,1
SHP-419,cheese_block,105.0,-3.6,2,1
SHP-420,milk_carton,86.8,8.7,2,0
SHP-421,strawberry45,72.3,0.1,7,1
SHP-422,banana78,81.7,-4.6,1,1
SHP-423,strawberry45,106.9,20.0,8,1
SHP-424,strawberry45,31.8,20.6,5,1
SHP-425,cheese_block,10.4,30.7,8,1
SHP-426,banana78,115.2,23.7,3,1
SHP-427,cheese_block,110.9,-1.9,0,0
SHP-428,banana78,48.9,26.6,4,1
SHP-429,banana78,38.7,17.0,6,1
SHP-430,apple_gala,105.9,8.9,6,0
SHP-431,milk_carton,114.9,19.9,2,1
SHP-432,apple_gala,77.8,34.5,7,1
SHP-433,banana78,33.2,-0.5,7,0
SHP-434,apple_gala,85.3,34.8,9,1
SHP-435,cheese_block,102.8,19.8,6,1
SHP-436,apple_gala,42.7,30.2,5,0
SHP-437,strawberry45,107.8,23.1,5,1
SHP-438,banana78,36.8,12.5,5,1
SHP-439,banana78,65.1,6.1,6,1
SHP-440,cheese_block,63.9,-0.4,1,0
SHP-441,cheese_block,89.3,32.6,1,1
SHP-442,strawberry45,44.7,7.3,1,1
SHP-443,banana78,107.2,7.5,2,0
SHP-444,banana78,114.0,7.6,7,1
SHP-445,apple_gala,91.3,21.4,7,1
SHP-446,milk_carton,58.8,20.4,0,1
SHP-447,apple_gala,9.2,32.2,2,1
SHP-448,cheese_block,92.1,27.4,2,1
SHP-449,apple_gala,117.7,5.6,9,0
SHP-450,cheese_block,110.8,23.6,1,1
SHP-451,cheese_block,13.5,-5.0,8,0
SHP-452,milk_carton,79.0,16.1,3,1
SHP-453,apple_gala,91.3,-1.5,0,0
SHP-454,strawberry45,89.1,20.7,4,1
SHP-455,milk_carton,50.8,27.9,1,1
SHP-456,apple_gala,111.2,6.7,2,0
SHP-457,banana78,18.3,25.4,7,1
SHP-458,cheese_block,44.6,0.7,6,0
SHP-459,milk_carton,87.5,9.3,0,1
SHP-460,milk_carton,69.2,0.1,3,0
SHP-461,apple_gala,21.5,12.1,0,0
SHP-462,cheese_block,77.0,19.3,9,1
SHP-463,apple_gala,8.7,12.4,8,0
SHP-464,milk_carton,60.8,-4.2,1,0
SHP-465,cheese_block,49.3,23.8,7,1
SHP-466,banana78,74.2,11.9,0,1
SHP-467,cheese_block,53.0,26.5,0,1
SHP-468,banana78,84.4,29.5,1,1
SHP-469,strawberry45,95.0,13.7,5,1
SHP-470,milk_carton,67.3,1.6,0,0
SHP-471,cheese_block,47.1,20.0,2,1
SHP-472,cheese_block,23.8,2.2,6,0
SHP-473,apple_gala,6.0,12.1,5,0
SHP-474,banana78,61.7,31.5,8,1
SHP-475,milk_carton,74.5,24.9,4,1
SHP-476,milk_carton,115.7,1.9,3,0
SHP-477,milk_carton,118.9,3.2,5,0
SHP-478,banana78,106.1,19.0,5,1
SHP-479,strawberry45,81.7,28.4,0,1
SHP-480,apple_gala,116.7,16.4,2,0
SHP-481,apple_gala,42.0,-3.7,7,0
SHP-482,milk_carton,112.1,17.0,2,1
SHP-483,strawberry45,23.4,7.2,8,1
SHP-484,cheese_block,62.1,8.1,8,0
SHP-485,cheese_block,83.0,23.5,5,1
SHP-486,strawberry45,77.8,24.6,5,1
SHP-487,milk_carton,78.9,33.7,4,1
SHP-488,strawberry45,72.6,19.0,4,1
SHP-489,cheese_block,86.1,20.7,8,1
SHP-490,milk_carton,36.8,-3.6,7,0
SHP-491,cheese_block,94.6,22.7,6,1
SHP-492,apple_gala,65.8,-4.8,9,0
SHP-493,milk_carton,78.2,21.6,6,1
SHP-494,milk_carton,98.5,28.2,7,1
SHP-495,milk_carton,14.8,33.7,4,1
SHP-496,apple_gala,7.9,18.9,0,0
SHP-497,milk_carton,95.5,3.4,6,0
SHP-498,cheese_block,55.3,8.3,1,0
SHP-499,strawberry45,68.0,32.7,8,1
SHP-500,banana78,15.3,33.3,1,1
